max_affordable_price,product,location,email,Order_size,contact,expected_delivery_time( num of days),Order_id
$4614.37,Grocery,Kansas,rdefreyne1a@ovh.net,3145,316-341-9967,13,47
$1983.84,Automotive,Florida,lsomerfield1b@mail.ru,1434,305-904-0355,13,48
$2537.07,Health,Connecticut,imcginnell1c@hao123.com,1169,203-266-1827,1,49
$1673.91,Jewelry,Alabama,cdyde1d@rediff.com,4040,205-258-9720,8,50
$4692.98,Shoes,Florida,kstovin1e@bloglovin.com,2160,772-900-6103,26,51
$3151.65,Electronics,North Carolina,eoran1f@dell.com,3999,336-438-5684,9,52
$3526.82,Jewelry,Connecticut,bwulfinger1g@friendfeed.com,279,860-132-3954,16,53
$3038.56,Electronics,California,jhallatt1h@indiatimes.com,2175,530-122-5993,26,54
$4089.57,Beauty,Ohio,agrollmann1i@odnoklassniki.ru,3701,937-203-5181,30,55
$502.25,Movies,California,esketch1j@auda.org.au,4463,916-693-0702,1,56
$4693.23,Grocery,California,mhaggis1k@alibaba.com,1191,562-402-4531,6,57
$405.38,Computers,California,jridgewell1l@acquirethisname.com,1894,213-496-8972,24,58
$1019.31,Toys,Connecticut,ftop1m@indiegogo.com,3926,203-366-4156,11,59
$4321.05,Clothing,California,mrouthorn1n@joomla.org,3305,559-138-9889,21,60
$1988.53,Health,California,pperfitt1o@uiuc.edu,2025,831-566-2820,22,61
$186.22,Clothing,Florida,jclamp1p@dagondesign.com,96,941-559-9310,17,62
$918.32,Shoes,North Carolina,nlefebre1q@github.io,4299,919-492-0061,12,63
$1721.87,Music,Ohio,rlonding1r@cloudflare.com,578,937-522-6728,10,64
$1349.07,Shoes,California,ewoodyear1s@google.de,90,408-782-5775,4,65
$1366.26,Health,Ohio,tcristoferi1t@fastcompany.com,4805,937-450-1073,16,66
$2283.59,Industrial,California,aosullivan1u@mashable.com,2335,650-281-3881,3,67
$4258.00,Tools,California,jballaam1v@wix.com,2687,415-639-8935,28,68
$3914.65,Baby,California,dmckane1w@admin.ch,2929,916-375-6733,11,69
$4725.32,Baby,California,shalden1x@zdnet.com,1310,213-392-7618,12,70
$1888.18,Jewelry,Florida,dmenier1y@marketwatch.com,446,813-312-2708,3,71
$3112.96,Beauty,California,mhemphrey1z@so-net.ne.jp,885,916-642-0106,24,72
$1490.98,Grocery,California,niacopini20@live.com,4713,650-581-5103,4,73
$1890.89,Movies,California,gburrows21@youtube.com,3651,619-103-0856,23,74
$1536.80,Computers,Ohio,nbeadle22@bizjournals.com,2690,330-244-6360,17,75
$2421.73,Home,Ohio,nfabry23@dedecms.com,3490,513-559-7654,6,76
$3660.63,Tools,Pennsylvania,mvandenbosch24@hibu.com,549,717-834-5988,11,77
$2810.73,Home,Florida,cmoultrie25@cpanel.net,3196,786-646-7281,13,78
$1800.17,Baby,California,gjoddens26@sina.com.cn,286,310-804-4106,11,79
$806.67,Games,California,nmasser27@businessweek.com,844,714-835-0408,27,80
$1069.27,Garden,Florida,asmallpeice28@ucoz.ru,1982,772-682-0453,21,81
$1650.03,Clothing,Pennsylvania,scleef29@live.com,3244,215-131-6222,5,82
$1473.14,Garden,Pennsylvania,nvanderhoeven2a@fema.gov,4063,215-239-5443,2,83
$756.21,Beauty,Pennsylvania,horrocks2b@phpbb.com,4916,814-715-6204,19,84
$2574.83,Beauty,New Jersey,gaskaw2c@gmpg.org,1681,201-756-7006,24,85
$4247.13,Clothing,Alabama,jgradly2d@indiatimes.com,1722,205-958-7314,25,86
$490.00,Clothing,Ohio,tsnaddin2e@seesaa.net,4403,513-158-2865,8,87
$3404.98,Automotive,Florida,oscamadin2f@ovh.net,2112,863-985-0138,15,88
$1518.64,Toys,Florida,oanglin2g@blogtalkradio.com,4877,786-486-9557,30,89
$3941.11,Tools,Ohio,dboots2h@myspace.com,4536,513-944-8033,9,90
$3453.94,Tools,New Jersey,lpetchey2i@hao123.com,2021,609-865-8240,5,91
$1845.62,Music,Wisconsin,yblanch2j@bing.com,3914,608-994-2037,26,92
$4810.66,Computers,Pennsylvania,khugueville2k@umich.edu,1240,814-688-4753,24,93
$137.42,Automotive,Florida,bcasper2l@xrea.com,4710,561-697-3570,6,94
$4942.45,Books,Florida,kbehrend2m@360.cn,3319,813-253-6319,1,95
$3744.24,Industrial,Alabama,fyve2n@a8.net,3309,251-442-6538,20,96
$93.38,Books,Alabama,hparade2o@nymag.com,1541,256-372-3194,26,97
$3198.21,Grocery,Alabama,pryde2p@woothemes.com,1726,334-511-2571,6,98
$3017.50,Tools,Florida,kroubay2q@elegantthemes.com,2876,786-353-1663,23,99
$1627.90,Outdoors,California,blinden2r@lulu.com,623,916-982-4679,9,100
$2251.26,Toys,Ohio,aksandra2s@wunderground.com,4850,330-379-3876,2,101
$3366.26,Sports,California,dmoverley2t@ebay.com,493,530-271-0302,8,102
$2578.00,Electronics,Florida,rcant2u@amazon.com,2855,954-419-4061,29,103
$4038.39,Automotive,California,poldford2v@cdbaby.com,1397,213-851-2442,9,104
$1841.55,Clothing,Ohio,ntoretta2w@psu.edu,953,216-603-1821,30,105
$204.85,Industrial,North Carolina,peudall2x@cnn.com,4399,910-279-8253,4,106
$2899.02,Outdoors,Pennsylvania,kguiet2y@uiuc.edu,737,412-925-1654,3,107
$4291.10,Jewelry,California,mkleisle2z@furl.net,530,916-170-9430,6,108
$4807.40,Books,California,bpastor30@pinterest.com,2218,559-784-3931,24,109
$3387.81,Industrial,California,kabels31@berkeley.edu,1855,408-715-7490,23,110
$3898.03,Grocery,North Carolina,kstapleford32@nih.gov,543,704-859-7541,23,111
$3093.65,Music,California,lwhitley33@twitter.com,1347,209-586-8095,8,112
$3255.43,Movies,Florida,bwalding34@noaa.gov,1977,863-766-5134,4,113
$1512.58,Health,Alabama,rgadney35@youku.com,3860,205-366-0238,4,114
$2366.71,Toys,California,kbarti36@thetimes.co.uk,3304,949-740-9522,17,115
$142.51,Music,Alabama,nkitley37@blogspot.com,2398,334-377-5778,26,116
$4869.46,Kids,California,tpickrell38@bloomberg.com,2803,213-891-4130,4,117
$1827.20,Kids,California,ncaltera39@google.com,4197,916-268-4325,3,118
$1689.81,Jewelry,Florida,klinny3a@washington.edu,1897,850-250-5818,11,119
$592.78,Music,California,ddumke3b@miitbeian.gov.cn,4686,209-788-9351,23,120
$4222.58,Grocery,Alabama,pcottey3c@issuu.com,690,251-270-3186,23,121
$3546.12,Music,Florida,chunn3d@jiathis.com,1404,239-632-8135,25,122
$712.62,Music,Florida,wricardou3e@digg.com,2968,813-908-7489,15,123
$4899.16,Jewelry,California,pcabena3f@tiny.cc,2250,310-659-1080,26,124
$2971.13,Garden,California,bsirey3g@google.pl,1871,213-121-6304,2,125
$2927.13,Shoes,California,fbissex3h@youtube.com,4337,415-699-5843,19,126
$3380.37,Beauty,California,eeldershaw3i@indiegogo.com,515,714-569-1036,21,127
$4214.41,Outdoors,Alabama,mroney3j@amazon.com,1045,205-590-8092,12,128
$2668.37,Books,Pennsylvania,ntownrow3k@imageshack.us,4258,215-888-5661,14,129
$3237.22,Electronics,Kansas,cfortun3l@youtu.be,2881,913-904-0418,14,130
$94.20,Sports,Kansas,agillham3m@google.it,4268,785-788-7549,6,131
$519.09,Home,Florida,dmcgeaney3n@seesaa.net,983,941-397-4040,14,132
$2560.36,Tools,Ohio,kdarnborough3o@jimdo.com,1693,330-785-3163,3,133
$4337.76,Garden,Ohio,jzanazzi3p@themeforest.net,288,513-989-2933,9,134
$778.66,Shoes,Ohio,aredfern3q@histats.com,2186,937-971-7594,9,135
$2162.42,Health,Pennsylvania,wswynley3r@freewebs.com,2437,412-920-8105,5,136
$3532.62,Music,California,hsharrocks3s@mtv.com,1969,858-309-6541,19,137
$3426.73,Kids,Florida,bfranzonetti3t@ezinearticles.com,4877,727-989-3069,13,138
$1454.94,Electronics,Pennsylvania,wendley3u@wired.com,2801,267-842-4264,26,139
$2538.42,Movies,New Jersey,dnorcliff3v@live.com,3776,973-318-9092,14,140
$574.10,Beauty,North Carolina,kclifford3w@google.com,3897,704-345-5758,29,141
$618.41,Home,North Carolina,gmanwell3x@webmd.com,3985,336-493-3465,26,142
$1350.66,Grocery,Alabama,jeaden3y@seattletimes.com,3859,334-875-6714,10,143
$2287.27,Computers,New Jersey,xpinnington3z@nih.gov,3654,862-683-3183,1,144
$2591.24,Industrial,Florida,tpleuman40@nyu.edu,2525,813-815-3999,18,145
$2816.11,Industrial,California,awinsbury41@telegraph.co.uk,3370,650-775-7711,30,146
$3725.43,Tools,California,tverryan42@oakley.com,4831,714-591-0872,5,147
$787.80,Automotive,California,omoxsom43@opera.com,1408,510-124-1529,7,148
$4380.76,Clothing,California,fbingall44@discovery.com,473,562-439-5474,26,149
$2083.12,Toys,Connecticut,sbrinicombe45@nifty.com,1244,860-984-0979,21,150
$4270.07,Books,Florida,nticic46@eepurl.com,3074,305-425-8899,26,151
$4882.81,Home,Ohio,bcresser47@aboutads.info,2605,330-278-4429,16,152
$1809.72,Automotive,Pennsylvania,sgrigs48@japanpost.jp,2961,610-402-4851,28,153
$3908.65,Kids,Wisconsin,cleatherland49@ucoz.ru,643,414-444-1235,15,154
$4102.10,Outdoors,Alabama,dlosebie4a@dedecms.com,4086,205-517-4040,14,155
$262.61,Health,Florida,hreal4b@reuters.com,3212,850-314-1553,30,156
$2149.70,Tools,Florida,gdescroix4c@tripod.com,4836,407-800-2251,4,157
$3003.12,Grocery,California,rhawken4d@thetimes.co.uk,2735,510-191-5548,14,158
$404.84,Tools,Florida,rfirk4e@virginia.edu,4884,727-644-5040,15,159
$726.76,Tools,North Carolina,hbennetto4f@skype.com,3836,336-131-9364,15,160
$4926.39,Shoes,California,mvaskov4g@goodreads.com,4999,415-367-7001,2,161
$614.99,Computers,Florida,bdivall4h@geocities.com,3142,850-344-2445,4,162
$4757.89,Beauty,California,dgaiter4i@unblog.fr,2598,559-537-9150,1,163
$615.92,Games,Florida,gbernier4j@youku.com,4977,904-745-3380,1,164
$3165.96,Beauty,Connecticut,dthonason4k@sfgate.com,93,860-453-4311,5,165
$3695.90,Industrial,Pennsylvania,ebiffin4l@ihg.com,3455,215-456-4183,19,166
$4436.15,Grocery,Florida,ewartonby4m@stanford.edu,2725,813-892-7490,2,167
$3614.17,Electronics,California,jfranses4n@last.fm,1608,925-327-0231,17,168
$2873.39,Movies,California,echue4o@adobe.com,1260,213-605-7593,24,169
$1002.36,Automotive,Ohio,nplenty4p@liveinternet.ru,1476,419-829-1409,24,170
$4035.05,Sports,Connecticut,rburditt4q@illinois.edu,376,203-562-5288,1,171
$990.55,Jewelry,Kansas,hmulberry4r@bravesites.com,2942,785-169-7803,17,172
$4778.15,Baby,Ohio,wmetzke4s@flickr.com,1360,937-332-0639,10,173
$728.56,Garden,Ohio,adyson4t@salon.com,4105,614-342-1313,12,174
$3886.47,Grocery,Connecticut,dhicklingbottom4u@flickr.com,3577,203-771-4841,3,175
$2289.19,Electronics,California,dgildea4v@cdbaby.com,3433,213-796-5962,12,176
$400.48,Toys,California,ablues4w@google.it,4283,619-279-7479,20,177
$669.63,Toys,Pennsylvania,fstonestreet4x@jigsy.com,129,484-726-1641,16,178
$1651.41,Electronics,California,sheersema4y@ask.com,4270,559-793-7873,24,179
$3257.70,Jewelry,North Carolina,bvaughan4z@yale.edu,2802,919-891-4417,18,180
$1409.86,Automotive,Florida,awalhedd50@washingtonpost.com,3516,352-345-7105,24,181
$2056.17,Industrial,Connecticut,blegen51@cbslocal.com,3941,203-998-6619,8,182
$2155.16,Music,California,bkinnen52@google.de,4621,213-753-5452,25,183
$2679.71,Shoes,California,nechallier53@dion.ne.jp,1205,858-715-4299,3,184
$1061.49,Movies,California,hdeinert54@springer.com,2641,619-672-0385,17,185
$1690.35,Shoes,California,sgieraths55@ibm.com,3042,408-850-1350,14,186
$4769.90,Automotive,Kansas,mfeldfisher56@so-net.ne.jp,4005,316-219-6955,18,187
$2942.65,Outdoors,Ohio,twillimot57@ted.com,2016,513-162-5319,28,188
$3073.63,Shoes,Pennsylvania,gespada58@arizona.edu,3911,724-130-0373,29,189
$3894.17,Outdoors,Kansas,scockill59@unesco.org,4047,316-971-7604,9,190
$3910.20,Movies,Florida,mcafe5a@seattletimes.com,1082,772-211-1445,22,191
$4853.12,Shoes,Ohio,slimpkin5b@jigsy.com,400,614-286-9583,15,192
$929.62,Toys,Alabama,spauluzzi5c@cyberchimps.com,747,205-201-1351,23,193
$3481.84,Tools,North Carolina,mguswell5d@yahoo.com,2004,704-351-2181,9,194
$591.82,Clothing,North Carolina,meastbrook5e@dmoz.org,2218,336-451-6583,4,195
$4814.07,Electronics,Florida,evannucci5f@newsvine.com,2304,850-943-2242,22,196
$1027.95,Clothing,North Carolina,egadson5g@storify.com,3600,828-546-4917,4,197
$3163.65,Health,Florida,csiddens5h@oakley.com,639,239-546-6873,10,198
$1945.35,Toys,Alabama,egreatland5i@list-manage.com,2028,334-268-9317,17,199
$4135.30,Movies,California,dellit5j@altervista.org,815,925-748-8941,24,200
$3660.17,Beauty,California,rwillows5k@mashable.com,292,916-921-6880,9,201
$762.44,Automotive,California,vsherel5l@infoseek.co.jp,4984,619-365-5866,15,202
$1212.52,Beauty,California,ipogosian5m@hostgator.com,1554,562-481-2254,12,203
$2744.28,Baby,North Carolina,asomersett5n@digg.com,2920,704-254-1880,11,204
$4822.59,Sports,Florida,pmedlicott5o@live.com,728,850-959-2271,5,205
$3861.64,Clothing,Ohio,nquenby5p@npr.org,1967,216-897-8673,26,206
$3479.84,Garden,Pennsylvania,cchritchley5q@dropbox.com,1597,267-434-2780,12,207
$1894.01,Automotive,Florida,ohatley5r@gov.uk,3927,407-691-0313,5,208
$3429.82,Computers,Pennsylvania,mwhilde5s@dell.com,3426,215-300-5500,3,209
$250.39,Computers,Florida,qsmallcombe5t@dagondesign.com,3661,850-457-4714,22,210
$2005.15,Toys,California,kaird5u@dropbox.com,2851,909-637-7882,1,211
$2014.80,Books,Alabama,lclaiton5v@amazon.co.uk,166,205-770-3774,11,212
$4545.00,Outdoors,California,smuschette5w@omniture.com,4863,951-411-9198,7,213
$1117.63,Automotive,California,aslowan5x@indiegogo.com,1840,805-350-7569,9,214
$3582.68,Books,California,preddington5y@yahoo.com,1283,559-922-9549,4,215
$3252.76,Tools,Connecticut,bvickors5z@w3.org,2462,203-593-3367,9,216
$1608.94,Tools,Ohio,wgarment60@mayoclinic.com,422,513-382-4329,30,217
$2873.39,Jewelry,California,vnewby61@miitbeian.gov.cn,447,619-506-0900,19,218
$2502.37,Automotive,Pennsylvania,jvanbrug62@adobe.com,4891,215-121-5085,26,219
$4451.89,Automotive,North Carolina,pcameron63@e-recht24.de,2233,336-673-6598,7,220
$2721.34,Movies,California,ahubeaux64@dagondesign.com,1472,916-275-2872,17,221
$3443.90,Music,Florida,lpocklington65@instagram.com,1087,727-246-2732,8,222
$3238.86,Kids,California,daleksankov66@netlog.com,731,951-906-2820,1,223
$3510.02,Kids,North Carolina,kconiam67@sciencedaily.com,2763,336-874-3117,21,224
$2698.42,Toys,Florida,tsampey68@xing.com,4367,561-186-2158,5,225
$2312.41,Grocery,Wisconsin,cfieldgate69@columbia.edu,2922,608-788-2524,25,226
$450.96,Garden,Florida,acheasman6a@163.com,3359,407-249-6090,4,227
$1847.64,Beauty,Alabama,gmullin6b@mlb.com,3675,205-246-6411,1,228
$4617.68,Health,Florida,cfaherty6c@microsoft.com,3866,727-842-3459,12,229
$3078.57,Home,Florida,snana6d@pbs.org,881,954-195-1443,9,230
$1050.07,Outdoors,Ohio,eguilder6e@pcworld.com,2606,330-323-1695,30,231
$4982.45,Shoes,Pennsylvania,carmitage6f@ezinearticles.com,1012,570-685-1488,26,232
$1979.22,Computers,California,boverlow6g@desdev.cn,499,916-153-6159,9,233
$3104.83,Games,Alabama,lranfield6h@lycos.com,2249,205-293-2898,17,234
$2010.96,Outdoors,California,lgonsalvez6i@list-manage.com,2281,805-945-2898,14,235
$2408.62,Music,Florida,nespadero6j@oaic.gov.au,4179,850-856-9726,5,236
$1336.81,Movies,Kansas,rguittet6k@comcast.net,4257,785-289-9901,29,237
$978.99,Computers,Florida,cmughal6l@so-net.ne.jp,4575,941-249-9502,11,238
$4590.47,Shoes,Pennsylvania,jheinzel6m@who.int,3634,814-625-8094,28,239
$3804.31,Home,Florida,awallbutton6n@tuttocitta.it,798,754-851-4072,22,240
$3314.86,Grocery,California,bbuss6o@drupal.org,427,209-397-8725,11,241
$1256.84,Garden,New Jersey,wdanell6p@exblog.jp,4250,201-440-3097,4,242
$2917.50,Music,California,drenehan6q@ow.ly,1467,310-411-6800,29,243
$1792.59,Computers,California,cpaxeford6r@desdev.cn,2680,209-984-7185,16,244
$2349.11,Tools,Florida,atolumello6s@yellowpages.com,3320,561-526-6232,11,245
$2272.74,Movies,Florida,kcaskey6t@statcounter.com,2999,239-696-1222,1,246
$2422.02,Automotive,New Jersey,sclitsome6u@nyu.edu,4466,551-568-9781,22,247
$2859.01,Health,Florida,bpesselt6v@hp.com,2618,386-576-7904,1,248
$657.99,Books,Florida,dshorto6w@discovery.com,3175,305-131-3260,15,249
$3923.31,Kids,California,tboldra6x@edublogs.org,4185,415-876-0996,26,250
$1046.56,Automotive,Ohio,alampe6y@sun.com,3606,937-805-6484,13,251
$2614.66,Industrial,Florida,chalso6z@360.cn,3041,352-373-6923,20,252
$2606.53,Books,Pennsylvania,twetter70@furl.net,3861,412-259-4939,28,253
$4590.51,Clothing,North Carolina,sdober71@japanpost.jp,1374,704-879-1142,18,254
$3880.36,Movies,North Carolina,lryley72@smh.com.au,941,336-194-1236,6,255
$4959.61,Music,North Carolina,jmasden73@instagram.com,1070,336-664-7014,25,256
$2847.91,Industrial,Florida,fnewvill74@marriott.com,1312,813-333-1143,7,257
$8.03,Electronics,North Carolina,ctipler75@goo.ne.jp,652,704-246-6562,15,258
$50.03,Kids,Ohio,lboise76@imageshack.us,2357,330-649-3334,4,259
$1945.68,Beauty,California,cpavluk77@cisco.com,4866,916-325-2337,4,260
$1920.73,Electronics,California,pbabber78@cam.ac.uk,4338,510-738-2760,25,261
$3087.79,Home,Ohio,msheran79@illinois.edu,3304,937-106-5701,9,262
$118.69,Books,Florida,nsaltern7a@sbwire.com,199,813-425-3036,11,263
$1351.99,Automotive,Connecticut,cmcphate7b@de.vu,3341,203-917-1179,7,264
$2938.61,Kids,Florida,gsuatt7c@shop-pro.jp,3011,407-460-8309,16,265
$1111.66,Clothing,California,gprestige7d@yahoo.com,4417,916-274-6530,26,266
$2786.59,Garden,Alabama,lleete7e@about.me,2374,205-581-5206,1,267
$4807.76,Garden,California,thoyes7f@google.co.uk,2200,213-169-5138,4,268
$4198.44,Baby,Florida,trigden7g@tinypic.com,3103,904-320-0401,14,269
$3308.68,Home,Florida,dglasser7h@goo.gl,2905,941-837-0344,13,270
$2889.18,Outdoors,Florida,rlearmonth7i@mail.ru,2994,407-253-5207,9,271
$3852.73,Toys,Florida,kthurman7j@weebly.com,88,904-267-6144,3,272
$4753.49,Electronics,California,jahlin7k@foxnews.com,4179,323-490-6588,10,273
$4645.49,Computers,California,wjanzen7l@go.com,2557,805-650-6447,29,274
$1934.33,Sports,California,ssinton7m@ca.gov,229,213-932-0514,27,275
$1342.29,Kids,Florida,tmcglade7n@tripod.com,2023,813-439-6656,22,276
$3747.68,Books,Pennsylvania,jtripet7o@qq.com,4443,412-657-9348,14,277
$2897.79,Industrial,Florida,ibatchelor7p@ted.com,1844,727-123-4761,2,278
$4431.96,Computers,Wisconsin,ehowen7q@printfriendly.com,453,608-748-6774,11,279
$593.52,Music,Ohio,rminshall7r@microsoft.com,4885,513-455-6815,26,280
$114.35,Electronics,Wisconsin,rpeperell7s@businessweek.com,3431,608-248-2233,15,281
$1802.37,Garden,California,nbaack7t@dmoz.org,4650,310-643-1144,13,282
$3598.93,Home,Kansas,sdrinkall7u@apache.org,1551,785-647-0433,19,283
$394.56,Home,North Carolina,bparnaby7v@theglobeandmail.com,2904,336-327-8612,29,284
$2143.79,Computers,California,rkilfeder7w@google.com,834,559-732-7203,27,285
$4544.27,Automotive,New Jersey,sgonsalvo7x@purevolume.com,2497,862-572-1820,28,286
$4082.12,Tools,Florida,africkey7y@springer.com,1022,954-121-5864,28,287
$122.83,Toys,California,mfirpo7z@usa.gov,2471,559-367-3044,10,288
$442.93,Grocery,California,jshingler80@thetimes.co.uk,1573,805-967-9332,21,289
$3092.62,Industrial,Florida,gpyvis81@elpais.com,2385,954-978-1298,27,290
$1506.70,Books,California,csimeon82@irs.gov,950,415-722-4044,19,291
$73.69,Computers,North Carolina,asandyford83@google.es,4365,919-534-8325,27,292
$4448.27,Grocery,California,hbewsy84@cbc.ca,3274,916-857-7109,17,293
$2522.47,Garden,Florida,amatteris85@geocities.jp,1887,904-189-6451,19,294
$775.77,Sports,Wisconsin,wwinnett86@github.io,2633,262-551-1021,14,295
$810.01,Home,California,sbarnwille87@wiley.com,3469,916-900-4893,10,296
$1868.17,Shoes,Pennsylvania,rlorenz88@reuters.com,4385,412-971-6583,11,297
$4141.91,Games,Pennsylvania,agrogor89@infoseek.co.jp,3056,814-958-2950,5,298
$2918.69,Health,Florida,wcrowcum8a@usa.gov,1567,772-274-6531,4,299
$3832.17,Books,Florida,ppratte8b@cyberchimps.com,2480,407-504-1362,7,300
$2727.94,Industrial,Ohio,awake8c@mayoclinic.com,1061,419-100-9364,12,301
$4064.55,Electronics,North Carolina,gmacgruer8d@fc2.com,21,704-873-3756,6,302
$1251.63,Home,Florida,asamworth8e@geocities.com,2285,239-272-4762,11,303
$4033.67,Clothing,Florida,mnaulty8f@facebook.com,4098,352-979-7873,13,304
$3356.56,Grocery,Alabama,fgiorgi8g@un.org,2349,205-866-2287,29,305
$3509.72,Toys,California,wdaniel8h@edublogs.org,4759,209-930-1341,27,306
$2699.22,Music,Florida,cstearndale8i@house.gov,4248,407-925-0937,28,307
$2165.47,Outdoors,California,cpickrill8j@blog.com,3252,310-813-5984,21,308
$256.52,Garden,North Carolina,pelan8k@squidoo.com,3579,828-486-4523,14,309
$1992.55,Automotive,California,dscrowson8l@sphinn.com,1421,916-834-2252,11,310
$2128.42,Health,Pennsylvania,mminmagh8m@histats.com,817,412-879-6409,23,311
$4476.68,Jewelry,North Carolina,dbrotherheed8n@squidoo.com,3065,919-299-0227,20,312
$3003.55,Sports,California,nclutton8o@merriam-webster.com,761,562-990-3045,16,313
$603.33,Home,California,dklosa8p@yelp.com,4745,310-168-2596,1,314
$1696.10,Games,Florida,thawlgarth8q@amazon.com,3069,727-520-0356,5,315
$4191.53,Movies,North Carolina,bthredder8r@ask.com,1094,704-484-8840,25,316
$4071.97,Grocery,California,cbeadman8s@uol.com.br,1801,805-277-5029,26,317
$385.42,Computers,Pennsylvania,amayfield8t@furl.net,2767,215-793-7225,25,318
$2231.71,Electronics,Wisconsin,kczajkowski8u@nyu.edu,790,608-527-7192,6,319
$1983.57,Jewelry,Ohio,plauthian8v@hc360.com,2039,513-920-9059,12,320
$2512.96,Grocery,California,aburnage8w@reuters.com,2994,714-865-1261,18,321
$528.41,Kids,California,rtwittey8x@github.com,4542,760-726-0224,10,322
$291.12,Games,Kansas,jhaddick8y@newyorker.com,1814,316-470-3735,7,323
$2268.09,Outdoors,North Carolina,bkenway8z@amazonaws.com,2408,336-618-5012,5,324
$567.09,Baby,Ohio,ncrucetti90@unesco.org,684,513-986-3716,20,325
$268.86,Toys,Ohio,squantrell91@a8.net,4685,513-377-2160,25,326
$3730.58,Books,Alabama,mkoeppke92@sogou.com,3985,251-601-5777,2,327
$4469.95,Sports,California,gtattersill93@netscape.com,4494,510-817-9428,12,328
$3988.60,Toys,California,larnull94@un.org,3636,707-449-8623,28,329
$2822.13,Garden,Ohio,geva95@people.com.cn,2100,513-365-4007,29,330
$4783.68,Toys,Florida,jkleinplac96@hubpages.com,826,941-346-5187,23,331
